measure,comparison,df,ss,ms,f_stat,p_val
cc,strain,3,8.178000,2.7260058137788508,5.699428872514038,0.0010762806826497317
cc,treatment,1,0.010000,0.009608752032091999,0.02008961187233032,0.8875099363818113
cc,interaction,3,0.440000,0.14659182067985943,0.30648858158487075,0.820660665771703
cc,residual,128,61.222000,0.4782945580609378,,
gj,strain,3,84565.907000,28188.63567687832,7.7819175369663425,8.181328902296578e-05
gj,treatment,1,159.408000,159.4082156918623,0.04400715250814838,0.8341738376589468
gj,interaction,3,3881.099000,1293.699558535569,0.3571461704473828,0.7840474509601082
gj,residual,128,463657.620000,3622.3251586738365,,
vm,strain,3,753.876000,251.29212843760118,2.316298873570219,0.07879425863381766
vm,treatment,1,417.229000,417.2290187297056,3.8458311930148668,0.05204094718697483
vm,interaction,3,208.737000,69.57909627810103,0.6413491076502966,0.5897779752363081
vm,residual,128,13886.547000,108.48864596228593,,
rin,strain,3,128220.429000,42740.14306746974,2.6400027777042574,0.05229778124953566
rin,treatment,1,14137.086000,14137.085934934672,0.8732293216228773,0.3518223706416125
rin,interaction,3,13179.933000,4393.3111273117875,0.27136908646077623,0.8459508911366705
rin,residual,128,2072247.181000,16189.431097734112,,
